"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"1287","1360 **D-XI/5/2000. “Tocqueville on the Roads to Equality: Is It the Same No Matter How You Get There?” Basic Program Weekend Conference, The University of Chicago, Alpine Valley Lodge, East Troy, Wisconsin. (Incorporated in Item C-2003(1), above, pp. 532-45.)","dxi “tocqueville on the roads to equality is it the same no matter how you",16,"get","can",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,FALSE
"1288","08-03 Montreal, Quebec – Osheaga Festival","montreal quebec",3,"–",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1289","See, he told me I needed an MRI and a spinal tap, and probably a medication that would reduce the optic nerve swelling while I lose the weight. I scheduled the MRI, but when I filled out the paperwork, I saw that they won't bill for deductible/co-pay. I called to verify. They wanted $658 at the time of my appointment. Sorry, please cancel my appointment, I can't do that. The fantastic person on the other end hung up on me. BEYOND ignorant and rude. I won't be going there for anything. (I'm bitter, can you tell?)","see he told me i needed an mri and a spinal tap and probably a medication that would reduce the optic nerve swelling while i lose the weight i scheduled the mri but when i filled out the paperwork i saw that they wont bill for deductiblecopay i called to verify they wanted at the time of my appointment sorry please cancel my appointment i cant",67,"do","wait","do","even","take","help","bring",NA,NA,NA,NA,0.0299999999988358,TRUE
"1290","I hope that's wetted you appetite. They really are beautiful stamps to play with and very versatile as you can see. There are a lot of separate images that build up into any scenes your imagination can create. I've just coloured some with promarkers and of course the messy distress inks had an outing too.","i hope thats wetted you appetite they really are beautiful stamps to play with and very versatile as you can see there are a lot of separate images that build up into any scenes your imagination can create ive just coloured",42,"some","promarkers","image","brads",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"1291","Alexandra Gibson, Martha McLorinan (alto)","alexandra gibson martha",4,"mclorinan","stewart","also","tiny","stood","mclorinan",NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"1292","I decided to check out the shoot on the day and was basically just a general assistant. I don’t know how she did it, but Jade managed to find the most perfect clothes and accessories for her ”Mermaid Out of Water” concept. Mostly all from second-hand stores! (Yes, we love that). My particular favourites were the shimmering gold skirt, the perlemoen shell bra, and the big blue goggles. The model, Nicky Fraser, was also unbelievably perfect for the mermaid role, with her wiry, curly hair and long slender physique, she was stunning!","i decided to check out the shoot on the",10,"day","other","back","way","th","front","ground","right","top","internet","same",0.0299999999988358,FALSE
"1293","If you are in the energy or compliance fields I hope that you can attend as we explore some of the above issues and many others. Anyone signing up through my site receives a discount. To register, simply book online, call +44 (0)20 7036 1300 or email enquire@iqpc.co.uk. Please quote ‘TomFox’ when registering to claim the discount.","if you are in the energy or compliance fields i hope that you can attend as we explore some of the above issues and many others anyone signing up through my",32,"site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1294","“Look, I just got out of a long-term relationship and I kind of need to slut it up for a while.”","“look i just got out of a longterm relationship and i kind of",14,"need","like",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"1295","For the burgers (modified to give the beef a little more kick):","for the burgers modified to",6,"give","give",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1296","4. Add the flour mixture to the banana mixture and stir just until blended.","add the flour mixture to the banana",8,"mixture","man","mixture","retired","illustration","truffles",NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1297","he would learn a thing or two after hearing me read it.","he",2,"would",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1298","in case you trip up","in case",3,"you","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1299","Let’s talk a bit about you Suzan. What made you want to get into the industry in the first place?","let’s talk a bit about you suzan what made you want to get into",15,"the","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1300","What’s that? You’re not going to a festival? You haven’t been asked?","what’s that you’re not going to a festival you",10,"haven’t","can","onto","carroll","poker",NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"1301","From 1960 to 1996, Guatemala has lived in the terror of civil war. The 36-year conflict has produced: 150.000 killed, 50.000 disappeared, 1.000000 refugees, 200.000 orphans, 40.000 widows, hundreds of villages destroyed.","from to guatemala has lived in the terror",9,"of","dark","shall","civil","incarnate",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1302","Thanks for reading, I'll be back later this week!","thanks for reading ill be back later this",9,"week","day","time","year","think","mother","see","like","sure","week","times",0.0299999999988358,TRUE
"1303","Is worth a lifetime","is",2,"worth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1304","The act of buying (or building) a house, which renders the subject financially impotent for an indefinite period of time.","the act of buying or building a house which renders the subject financially",14,"impotent","can","b","impotent",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"1305","Survey shows 41% of secular Israelis support municipal religious leaders' call not to rent apartments to non-Jews, as do 64% and 88% of Israel's traditional and haredi Jews, respectively.","survey shows of secular israelis support municipal religious leaders call not to rent apartments to nonjews as do and of israels traditional and",24,"haredi","sense","long","style","physical","values","ipa","families","cottage","roots","haredi",0.0100000000020373,TRUE
"1306","For our first grocery trip since getting back, I wasn’t tempted while walking past the meat. When I saw the bacon next to the eggs, instead of thinking yumm, I thought about the slaughterhouse worker who beat the squealing pig, cut its snout off, and rubbed salt on it because he was angry. When walking past the rotisserie chickens I thought about the hormones injected in them and the overcrowded cages they live in and how their beaks are cut off.","for our first grocery trip since getting back i wasn’t tempted while walking past the meat when i saw the bacon next to the eggs instead of thinking yumm i thought about the slaughterhouse worker who beat the squealing pig cut its snout off and rubbed salt on it because",51,"he","is","was","means","makes",NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"1307","And she pulls of the short haircut that I wish I could!","and",2,"she",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1308","And the sentiment is from Close To My Heart -- Card Chatter Birthday!","and the sentiment is from close to",8,"my","the","my","being",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1309","of you have read the book ""Fifty Shades of Grey""","of you have read the book fifty shades",9,"of","grey","light",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"1310","Stars: Zachary Quinto, Kevin Spacey, Paul Bettany, Jeremy Irons, Simon Baker, Demi Moore, Aasif Mandvi, Mary McDonnell, Penn Badgley, and Stanley Tucci","stars zachary quinto kevin spacey paul bettany jeremy irons simon baker demi moore aasif",15,"mandvi","mandvi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1311","Because Africa as a whole has dealt with 50 years of banging its head against a brick wall. Same as in my Mum's Ireland where post-liberation Irish voted in extremism to have the Catholic Church rule the Irish state and to cut off their nose to spite their face. By refusing to do business there 500 year oppressive Colonisers, the Brits. While understandable, led to 70 YEARS OF HARDSHIP. Of Irish being forced to leave Ireland to move to Britain. Same story as Africa. And same story as to why African immigrants into South Africa vote against the new extremist ANC, who've forgotten the Freedom Charter.","because africa as a whole has dealt with years of banging its head against a brick wall same as in my mums ireland where postliberation irish voted in extremism to have the catholic church rule the irish state and to cut off their nose to spite their face by refusing to do business there year oppressive colonisers the brits while understandable led to years of hardship of",68,"irish","irish",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"1312","Update: Tags added.","update tags",3,"added","added","originally","stickers",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1313","Did you see that? See what he did there? He acknowledged that I am his mom and that I am supposed to love him just like every other mom in the world.","did you see that see what he did there he acknowledged that i am his",16,"mom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1314","resurrect the passed on? Can a song, trumpeted,","resurrect the passed on can a song",8,"trumpeted","like","also","im","part","call","structure","called","took","thats","high",0.0100000000020373,FALSE
"1315","It's alright to slow down. In fact, it feels . . . amazing.","its alright to slow down in fact",8,"it","im","that","there",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"1316","Why not just send one, to let our defence forces know that we care about them.","why not just send one",6,"to","day","can","point","thing","another","two","time","favorite","first","just",0.0199999999967986,FALSE
"1317","Razor Blade Alley","razor",2,"blade","blade",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1318","UM... HOLY SHNAZBALLS. This beefcake of a massage therapist is the one giving me a light bulb moment cause when she said that my exact thoughts were..","um holy shnazballs this beefcake of a massage therapist is the one giving me a light bulb moment cause when she said that my exact",26,"thoughts","thoughts","gauge","saturday","components","measurements",NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1319","* Multiple recipes are permitted (although only one submission will be counted towards the random drawing/s).","multiple recipes are permitted although only one submission will be",11,"counted","the","on","in","announced","announcing","no","more","up","there",NA,0.0200000000040745,FALSE
"1320","In the music I hear- You whisper to me…","in the",3,"music","world","end","past","same","middle","first","morning","last","day","th",0.0199999999967986,FALSE
"1321","Once the girl is labeled an Eskimo (more precisely, a native of slightly less ferocious Labrador), her strangeness dissipates and her assimilation takes on greater value.Seems like 2012 is going to be... hot? Weird? Both? (""... her assimilation takes on greater value."") Maybe I need more exciting bedside reading.","once the girl is labeled an eskimo more precisely a native of",13,"slightly","lot","few","little","man","person","mask","similar","child","murder","crime",0.0400000000008731,FALSE
"1322","Directed by Melina Mastoukas, who directed Rude Boy, Hard, Gangster 101, as well as Beyonce‘s 50/60′s pin-up house-wife-come-feminist inspired Why Don’t You Love Me.","directed by melina mastoukas who directed rude boy hard gangster as",12,"well","well",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"1323","The bourbon boys should not switch between that and beers. Nor should anyone be permitted to ‘upsize’ outside of their shout. You can’t be buying pots for your mates and then decide “I might just have a quick Flaming Lamborghini, actually” when someone else is buying. The Shout works because you don’t even need to ask what the others want, just a quick nod and a point to indicate that you are ’up’. You may sit out of a particular round of The Shout without bringing social disrepute upon your family name – as long as you don’t sit out your shout. The other exception to The Shout guidelines is that it is perfectly reasonable and permissible to exclude any member who wants to drink Pimms, Pernod, Campari or Vodka Cruisers. Unless they are girls. They can drink poofy drinks, but not in The Shout.","the bourbon boys should not switch between that and beers nor should anyone be permitted to ‘upsize’ outside of their shout you can’t be buying pots for your mates and then decide “i might just have a quick flaming lamborghini actually” when someone else is buying the shout works because you don’t even need to ask what the others want just a quick nod and a point to indicate that you are ’up’ you may sit out of a particular round of the shout without bringing social disrepute upon your family name – as long as you don’t sit out your shout the other exception to the",108,"shout","point","front","other","world","next","school","people","right","us","big",0.0199999999967986,FALSE
"1324","Does this mean that dental x rays cause cancer? No. This study was looking at an association, not cause and effect, relationship between reported dental x rays and a certain type of non-malignant brain tumor. It merely brings up the possibility that the two could be linked and encourages caution in minimizing radiation.","does this mean that dental x rays cause cancer no this study was looking at an association not cause and effect relationship between reported dental x rays and a certain type of nonmalignant brain tumor it merely",38,"brings","matter","brings","opinion","caution","origin","harmless","secondary",NA,NA,NA,0.0100000000020373,TRUE
"1325","Perhaps I’m a” strong independent woman” after all, or just a women trying to make sense of the world around her before she falls down the rabbit hole again.","perhaps i’m a” strong independent woman” after all or just a women trying to make sense",17,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"1326","""You sleep in the clock?""","you sleep in the",5,"clock","world","end","past","same","middle","first","morning","last","day","th",0.0199999999967986,FALSE
"1327","Chock full of cupcakey goodness and ready to satisfy","chock full",3,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1328","Next to Murg was an empty seat. Hadn't Bleek been sitting there? Scrunge craned his neck but couldn't see her. This was worrying. After all, he didn't like losing track of the nasty Drangathian. He preferred to be able to keep out of her way.","next to murg was an empty seat hadnt bleek been sitting there scrunge craned his neck but couldnt see her this was worrying after",25,"all","people","didnt","whether","perfectly","precise","bacteria",NA,NA,NA,NA,0.0299999999988358,FALSE
"1329","Cheaper than hair dye/going to a salon, no chemicals","cheaper than hair dyegoing to",6,"a","salon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500000000029104,FALSE
"1330","e. A lobster costume to celebrate her heritage.","e a lobster costume",5,"to","designer","putting","celebrate","pricklewood",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1331","The deadline to apply is 11:59 pm PST, May 1st, 2011. Applicants will be notified by May 3rd, 2011 via email. Should the applicant need to create a project using one of our images for further consideration, we will let you know that once we receive your project samples.","the deadline to apply is pm pst may st applicants will be notified by may rd via email should the applicant",22,"need","need",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1332","“Who is it?” calls one of the nuns.","“who is",3,"it”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1333","My icing is something that needs to be improved upon - but I basically strived to make a bone shape in each arm and leg - an anchor like piping for the ribs, and then the skull. My icing could have used a bit more sugar to thicken as it spread a bit after I piped it - but I got the hang of icing after a while. The first few were really creepy looking - but hey - they are for Halloween!","my icing is something that needs to be improved upon but i basically strived to make a shape in each arm and leg an anchor like piping for the ribs and then the skull my icing could have used a bit more sugar to thicken as it spread a bit after i piped it but i got the hang of icing after a while the first few were really creepy looking but",73,"hey","forward","back","around","across","like","new","just","things","always","great",0.0299999999988358,FALSE
"1334","Aside from that, there’s the whole ebooks thing which will hopefully be a positive game-changer for libraries, rather than a reason to no longer have them. We’re hoping to start providing ebooks in my school next year through Overdrive, and it would be great to make some connections with other librarians, and find out what ebooks models they think will work in the long term.","aside from that there’s the whole ebooks thing which will hopefully be a positive gamechanger for libraries rather than a reason to no longer have them we’re hoping to start providing ebooks in my school next year through overdrive and it would be great to make some connections with other librarians and find out what ebooks",57,"models","school","thing","part","models",NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1335","I do not know the name of the film, but I have seen it in a collection of shorts called Wholphin. I'd watch these with my mother because we're both into odd and short. This is a part of one of those films. It doesn't start with the beginning, so I'm not sure what we've missed, but with these kind of things, you can pretty much pick up at any point and have the same level of understanding/confusion.","i do not know the name of the film but i have seen it in a collection of shorts called wholphin id watch these with my mother because were both into odd and short this is a part of one of those films it doesnt start with the beginning so im not sure what weve missed but with these kind of things you can",65,"pretty","see","do","be","use","have","get","also","take","imagine","even",0.0199999999967986,FALSE
"1336","The tracker rolled over and pushed his dead companion away in disgust. Most of the man’s head was missing. Brains and blood had spattered everywhere. The second of the two deserters was writhing in pain a few feet away. A quick look revealed that a chunk of his skull and jaw were missing. In the tracker’s opinion, the man didn’t have long. In the mean time … he could provide a necessary diversion.","the tracker rolled over and pushed his dead companion away in disgust most of the man’s head was missing brains and blood had spattered everywhere the second of the two deserters was writhing in pain a few feet away a quick",42,"look","look","visit",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1337","That's it for me today. I'm going to try and have the logistics for my next challenged worked out sometime next week. So come back and visit!","thats it for me today im going to try and have the logistics for my next challenged worked out sometime next week so come back",26,"and","home","work","onto","school","week","know","time","can","go","car",0.0200000000040745,FALSE
"1338","We'll see how i do. Wish me luck with my goals.","well see how i do wish me",8,"luck","now","like","much","luck","im","today","live","money","order","knew",0.0199999999967986,TRUE
"1339","And Karen sent me this beautifully carved typewriter stamp.","and karen sent me this",6,"beautifully","get","good","god","person","october","makes","proof","youtube","federal","link",0.0299999999988358,FALSE
"1340","Scoop the chilled dough by tablespoonfuls onto prepared baking sheet. Bake for 12-13 minutes and let the cookies cool completely on the cookie sheet between batches.","scoop the",3,"chilled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1341","09 Do You Really Want To Hurt Me?","do you really want",5,"to","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1342","They make me laugh. Especially Trevin this morning.","they make me laugh especially",6,"trevin","times","since","now","great","something","cases","view","spring","kind","john",0.0100000000020373,FALSE
"1343","Me: OMG we have been married FOREVER and we haven’t even taken it out of the boxes. It is STILL in your parents’ garage from when it was delivered!","me omg we have been married forever and we haven’t even taken it",14,"out","place","now","time","year","point","got","things","another","white","care",0,FALSE
"1344","MASS DEATH IS “GOOD FOR THE ENVIRONMENT”","mass death is “good for the",7,"environment”","first","last","past","rest","second","most","best","better","next","kids",0.0200000000040745,FALSE
"1345","The Wild West scene started at around 4:40pm Thursday, when a young mom's car was hijacked while she was pulled up in front of her children's nursery school in the leafy Pretoria suburb of Pierre van Ryneveld.","the wild west scene started at around pm thursday when a young moms car was hijacked while she was pulled up in front of her childrens nursery school in the leafy pretoria suburb",34,"of","pierre",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1346","The workshop will be a 'Field to Studio' based class. We'll spend about two days in the field making preparatory studies and taking photos, and then take all of that information back into the studio,for three days, to design and work up larger paintings. During the week I will demonstrate my entire process for using the studies from Nature to create a more complex, considered and larger painting in the studio. I encourage you to bring along a laptop and camera to view any reference sources to use in addition to your field studies. The link to the school below will take you to a page of workshop information. You can scroll down to see the description and registration information for my class. I'd love to work with you there if you think it's something that would be of interest.","the workshop",3,"will","if",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"1347","my weakness. Crave Him...not things of this world. Crave His word to fill my","my weakness",3,"crave","crave",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1348","When these chemical changes have been made, the meat will have absorbed approximately 10% more water and salt from its original weight.","when these",3,"chemical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1349","* Graduated from baby collar to big-girl collar","graduated from baby collar to biggirl",7,"collar","collar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"1350","Due to personal 'Life Stuff,' we have decided to relieve ourselves of the pressure of posting every Friday. We are giving ourselves the freedom to post on an 'ad hoc' basis until such time as life decides to be a little more co-operative. We do plan to put postings up, but they will be random. For new readers, there's a years worth of material to check out on this blog - (links are in the left hand column) - with some interesting round the table discussions to keep you entertained between any new postings that we manage to cobble together before normal service is resumed.","due to personal life stuff we have decided to relieve ourselves of the pressure of posting every friday we are giving ourselves the freedom to post on an ad hoc basis until such time as life decides to be a little more cooperative we do plan to put postings up but they will be random for new readers theres a years worth of material to check out on this blog links are in the left hand column with some interesting round the table discussions to keep you entertained between any new postings that we manage to cobble together",99,"before","make","one","much","can","years","even","love","first","look","business",0.0200000000040745,FALSE
"1351","They’re both miserable because they feel inadequate in the face of all the different responsibilities that are demanded of them.","they’re both miserable because they feel",7,"inadequate","like","free","need","good","better","happy","great","alone","bad","satisfied",0.0299999999988358,FALSE
"1352","Micheletto quizzes the nosey servant girl, who asks to be paid for her info, because it’s pretty juicy. This idiot girl is so dead.","micheletto quizzes the nosey",5,"servant","lady","servant",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"1353","""Why didn't you send it?"" Arlan asked me. ""I would have …","why didnt you send it arlan asked me i would",11,"have","have",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"1354","by wasted youth, and salads Greek,","by wasted",3,"youth","life","morning","blogging","opportunity","youth",NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1355","For those not familiar with Apple Butter, it is similar to apple sauce but thicker and richer in flavour. What would you use it for? Well, here is a short list:","for those",3,"not","of","who",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1356","“Don’t presume to know me and call me sweetheart.” Her eyes flashed and the color grew a darker green. “I won’t become one of your blood whores.”","“don’t presume to know me and",7,"call","my","gave","the","that",NA,NA,NA,NA,NA,NA,0.0300000000061118,FALSE
"1357","Search high and low,","search",2,"high","will","something","found","high","food","bike","internet","results","feature","agent",0.0199999999967986,TRUE
"1358","Update: 4/21 8:03 a.m. (Three days later…) Slow fermentation != Weak fermentation. I do not normally ferment this cold, so I guess I should expect it to behave differently than I am used to. Normally — at 67 °F, say — I would expect fermentation to be mostly done by now. Instead, I check it this morning and the trub is swirling like mad, the kreusen has filled the head space and the airlock, and the fermenter is sitting in a puddle of stale beer. I sanitized my blowoff tube and slowly removed the airlock. It hissed like mad for quite a little bit of time. I am guessing it was almost ready to blow. I cleaned it up this morning and it is happily blubbing away in the blowoff bottle.","update am three days later� slow fermentation weak fermentation i do not normally ferment this cold so i guess i should expect",23,"it","see","tell","asks","kids","nothing","stay","given","general","expect","future",0.0100000000020373,FALSE
"1359","Self-worth? Redemption? In a movie with Gary Busey, The Barbarian Brothers and topless waitresses? Yep. And Mr. T, too - can't forget him. Or Irene Cara as Irene Cara.","selfworth redemption in a movie with gary busey the barbarian brothers and topless waitresses yep and mr t too cant forget him",23,"or","see","add","ever","special","started","brought","check","leave","follow","important",0.0299999999988358,FALSE
"1360","Hello friends","hello",2,"friends","friends","either","sentiment",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"1361","And, about those bad guys, I want you to think about how beautifully a diamond shines against a black background.","and about those",4,"bad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1362","Patrick and I miss donating time to charities that are important to us. Yes, you can give money to thousands of good causes down here. However, as a cruiser you never get a chance to teach English at the orphanage every week and build up a relationship with the kids, or spend months helping to build houses, or even muck out the cages at the local dog pound once a week. If you are truly cruising, you are moving every few weeks. People who are living on a boat, staying in one place can do those things, but they aren't cruising. We miss making a meaningful committment to a good cause.","patrick and i miss donating time to charities that are important to us yes you can give money to thousands of good causes down here however as a cruiser you never get a chance to teach english at the orphanage every week and build up a relationship with the kids or spend months helping to build houses or even muck out the cages at the local dog pound once a week if you are truly cruising you are moving every few weeks people who are living on a boat staying in one place can do those things but",99,"they","like","will","can","im","get","going","people","good","really","away",0.0199999999967986,FALSE
"1363","Immediately regretted it when the alarm went off, but hit snooze instead of sleep, so I got woken up again ten minutes later. I think Henry was awake from the first alarm, so it was pretty much time to get up regardless.","immediately regretted it when the alarm went off but hit snooze instead of sleep so i got woken up again ten minutes later i think henry was awake from the first alarm so it was pretty much time",39,"to","time","like","get","year","people","go","im","now","will","really",0,FALSE
"1364","There's a slight but considerable danger","theres a slight but considerable",6,"danger","force","danger","talents",NA,NA,NA,NA,NA,NA,NA,0,TRUE
"1365","Marsi shares yet another one of her secrets today. What would we do without her?","marsi shares yet another one",6,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"1366","After the goal, Villa’s tails were up, while we allowed our heads to drop. Our front two looked off the pace and were isolated as our midfield dropped even deeper. Forwards and midfielders seemed to be on different wavelengths, with runs poorly timed or non-existent. Our wing play became less effective, our passing got worse and we were reduced to aimless punts that rarely found their target. For all that though we nearly got back on terms near half time when a good cross from Etherington was headed just over by Jon Walters.","after the goal villa’s tails were up while we allowed our heads to drop our front two looked off the pace and were isolated as our midfield dropped even deeper forwards and midfielders seemed to be on different wavelengths with runs poorly timed or nonexistent our wing play became less effective our passing got worse and we were reduced to aimless punts that rarely found their target for all that though we nearly got back on terms near half time",81,"when","time","like","get","year","people","go","im","now","will","really",0.0100000000020373,FALSE
"1367","bloody Methodists,","bloody",2,"methodists","blood","effects","bafta","methodists","scratch","useless",NA,NA,NA,NA,0.0200000000040745,TRUE
"1368","The Beginning: The idea of Fountainhead Brewing started in early 2009. At the time, Michael Ojo was still early in his homebrewing experience and had ideas of starting a business. Over time he came to realize that opening a brewery was truly an extension of his pre-existing passion for food and beverage. ""My good friend and I tossed around the idea of opening a brewery and from that idea grew Fountainhead. The original idea was to start a nanobrewery, but over time the idea and plans have grown to what will someday be a small-scale microbrewery,"" he explained.","the beginning the idea of fountainhead brewing started in early at the time michael ojo was still early in his homebrewing experience and had ideas",26,"of","old","will","everything","experience","different","real","starting","change","carry","plans",0.0299999999988358,FALSE
"1369","On whatever the day,","on whatever the",4,"day","reason","day","one","worry","call","name","takes","juice","happened","paste",0.0299999999988358,TRUE
"1370","Admit you want to be with someone like me","admit you want to be with someone",8,"like","who","you",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1371","Bright Star","bright",2,"star","spots","early","blue","light","heart","star","red","future","ball","autumn",0.0300000000061118,TRUE
"1372","They do a disservice to the people of this nation by presuming that we are unable to understand the need to appease the Malays while safe-guarding the rights of the non-Malays.","they do a disservice to the people of this nation by",12,"presuming","world","take","need","includes","wide","fit","kingdom","shall","de","doctrine",0.0299999999988358,FALSE
"1373","The particle, until now, has existed only in theory — rigorous theory, first proposed by the English physicist Peter Higgs 40 years ago, but until now it’s never actually been detected. The Large Hadron Collider, the giant particle accelerator 17 miles in circumference, was built deep beneath the mountains on the French-Swiss border to send atoms crashing into each other at nearly the speed of light. It would be enough that if the particle actually exists, the LHC’s detectors would see evidence.","the particle until now has existed only in theory — rigorous theory first proposed by the english physicist peter higgs years ago but until now it’s never actually been detected the large hadron collider the giant particle accelerator miles in circumference was built deep beneath the mountains on the frenchswiss border to",53,"send","send","purchased","thunder","collected","dies","falmignoul",NA,NA,NA,NA,0.0199999999967986,TRUE
"1374","Share your pleasures, your pains, your setbacks, your gains. Who did you meet along the way that you found to be especially helpful or inspiring? Did you have a favorite blog post? Or a favorite series? Which blogs did you discover during April that you will be returning to in the future?","share your pleasures your pains your setbacks your gains who did you meet along the way that you",19,"found","can","are","will","have","need","were","do",NA,NA,NA,0.0100000000020373,FALSE
"1375","Anyone have suggestions for effectively studying for the GRE? I need to get a 500 in math, apparently they don’t look at the written scores.","anyone have suggestions for effectively studying for the gre i need to get a in math apparently they",19,"don’t","lot","something","many","door","available","fact","movie","older","wasnt","regarded",0.0299999999988358,FALSE
"1376","In the postmodern relativist and secular context in which marriage appears increasingly to mean whatever one wants it to mean, today we celebrate what Christians have done for 2000 years and man has done for millennia: the union of a man and a woman. Not just any man, of course: Prince William’s royal lineage can be traced all the way back to King Alfred the Great. When he kneels at the 1000-year-old altar of Westminster Abbey, he does so as the representative of a British institution as ancient as the Church itself, under whose aegis he is joined in holy matrimony. This is not a fairytale: Prince William and Catherine Middleton do not enter the institution of marriage unadvisedly, lightly, or wantonly; but reverently, discreetly, soberly, and in the fear of God.","in the postmodern relativist and secular context in which marriage appears increasingly to mean whatever one wants it to mean today we celebrate what christians have done for years and man has done for millennia the union of a man and a woman not just any man of course prince william’s royal lineage can be",56,"traced","very","found","used","the","sure","just","made","called","so",NA,0.0199999999967986,FALSE
"1377","The dog canvases on the wall on the left side of the bed were a nod to this young lady's love of dogs. The fashion canvases were chosen to give this room a more sophisticated feel.","the dog canvases on the wall on the left side of the bed were a nod to this young ladys love of dogs the fashion canvases were chosen to give this room a more",35,"sophisticated","sophisticated","than",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1378","Mystics may be drawn inward, but the oneness of the divine also embraces the outer world. When the eye of the heart is open all of creation reveals its divine nature; everything is seen as an expression, a manifestation of the One Being. Mystics are also involved in the demands of everyday life. One of Christianity’s most loved mystics, St. Teresa of Avila, worked tirelessly founding nunneries and looking after her nuns, while at the same time mystical prayer took her into ever deepening states of inner absorption, oneness and ecstasy. Mysticism does not mean to retire from life, but to live the unitive life. “God,” St. Teresa would say, “lives also among the pots and pans.”","mystics may be drawn inward but the oneness of the divine also embraces the outer world when the eye of the heart is open all of creation reveals its divine nature everything is seen as an expression a manifestation of the one being mystics are",46,"also","saved","also","may","st","poets",NA,NA,NA,NA,NA,0.0500000000029104,TRUE
"1379","Music: It’s Tubbs…what more do you need to know. A different track selection this time. But Tubbs in full flow, unstoppable.","music it’s tubbs�what more do you need to know a different track selection this time but tubbs in",19,"full","full",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
