"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"304","Besides taking the opportunity to vent about a situation that I find very frustrating, this story seems to me worth telling because it provides something of a parable of the contradictions involved in being a professor of popular music. It's my job to try to cultivate a more sophisticated understanding of popular music and the larger media system through which it's produced. But to do so, I need resources of a sort that are pretty common outside the academic setting but far less so inside. Adding to that, it's important for me not to take the supposedly inevitable tide of technological ""progress"" as a given. Just because the corporations that earn enormous profits from the production of new technologies have deemed some particular item or format to be obsolete doesn't mean that we should all follow suit. Vinyl may be, in the end, just another commodity item, no more no less, but it was also a dominant form in which people experienced music for the better part of a century, and the notion that we should all dispense with our vinyl archives because of changing media is folly.","besides taking the opportunity to",6,"vent","meet","3","relax","3","vent","3","a","31B","to","31B","in","31B","meet","21","relax","21","vent","21","a","21",0.210000000006403,TRUE
"305","Our health care system is in ruins, and only those who have their heads in the sand can't see that. On several levels: loss of work force, cost of medical treatment, cost of insurance, an aging populous, this current ""system"" stands to wreck our country faster than Social Security, taxes, terrorists, or any competing cause. If we don't address it, it's going to be horribly ironic that the America we think we know will be destroyed by a social issue that right-wingers refused to acknowledge. Get off your high horse and bring solutions to the table. (And by the way, the most plausible solution here is to make health care insurance the responsibility of individuals, not employers. But like so many things, we all know that's not going to happen, either.)","our health care system is in ruins and only those who have their heads in the sand cant see that on several levels loss of work force cost of medical treatment cost of insurance an aging populous this current system stands to wreck our country faster than social security taxes terrorists or any competing cause if we dont address it its going to be horribly ironic that the america we think we",73,"know","know","4","we","41C","will","3","think","42D","think","42F","know","31B","know","31A","are","31A","we","32B","know","3",0.369999999995343,TRUE
"306","- Cross-curricular strategies","crosscurricular",2,"strategies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"307","So, if you would like me to send you a cute Christmas card, simply send me your postal address and I'll send you one towards the end of November :) I'd email your address to me rather than comment with it below (Esshaych@hotmail.co.uk), as you don't want everyone seeing your address lol!","so if you would like me to send you a cute christmas card simply send me your postal",19,"address","address","3","postal","41C","postal","31B","your","42F","and","2","postal","32B","address","2","postal","32C","your","32C","day","21",0.30000000000291,TRUE
"308","My last dog, Chase, was a golden retriever (or as I referred to him “Love of my life”). He ate up the adoration. Long before he was fully grown, it became clear he did not realize he was a dog, and I wasn’t going to break it to him…considering I was the one feeding him off my plate and baby-talking to my “Chaser-doodle-puppy-wuppy”. This quintessential family pet was the constant sidekick everyone gathered around at each soccer game to pet and spoil.","my last dog chase was a golden retriever or as i referred to him “love of my life” he ate up the adoration long before he was fully grown it became clear he did not realize",37,"he","he","4","was","3","he","31A","not","42F","know","41C","realize","41C","he","3","magical","2","was","2","it","2",0.279999999998836,TRUE
"309","As I mentioned in an earlier post, this month I'm Guest Designing for Let's Capture Our Memories. I'm super excited about such a fun opportunity and TODAY my first guest post is up on their blog.","as i mentioned in an earlier post this month im guest designing for lets capture our memories im super excited about such a",24,"fun","fun","4","a","41C","fun","31B","a","32B","a","32C","a","31B","fun","31A","drive","31A","groupie","31A","is","31A",0.30000000000291,TRUE
"310","Never changing who,","never",2,"changing","of","2","heard","2","get","2","done","2","end","2","anything","2","problem","2","feeling","2","anyone","2","runner","2",0.00999999999476131,FALSE
"311","What struck me about the two trips being so close together is the clear level of white, entitled anger that permeated fading-Midwestern-resort. The vacationing people on the island were a) clearly quite well off financially and b) supposed to be enjoying a leisurely holiday. Nonetheless, it seemed like every time I turned around all I heard was people obsessing about how they thought Obama had done them wrong and how this country was “on the road to socialism.” They were also numerous, numerous anti-immigrant statements. This occurred despite the fact that the very resort that was catering to them at that very moment clearly depended on immigrant labor. It was astounding to me that an entire island’s worth of people who are so fortunate (especially in a region with the highest unemployment) could continue to demand more and more of the pie. They have everything that they could possibly want and yet it simply wasn’t enough. Much to my horror, they also managed to say that every African-American waiter who served them “looked like Obama.” I find it unlikely that I will ever return to fading-Midwestern-resort.","what struck me about the two trips being so close together is the clear level of white entitled anger that permeated fadingmidwesternresort the vacationing people on the island were a clearly quite well off financially and b supposed to be enjoying a leisurely holiday nonetheless it seemed like every time i turned around all i heard was people obsessing about how they thought obama had done them wrong and how this country was “on the road to socialism” they were also numerous numerous antiimmigrant statements this occurred despite the fact that the very resort that was catering to them at that very moment clearly depended on immigrant labor it was astounding to",113,"me","me","4","me","3","leave","41B","to","41C","me","31B","to","32B","to","31B","me","21","though","21","entire","21",0.360000000000582,TRUE
"312","Erik Schurink","erik",2,"schurink","schurink","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"313","I wrapped a few with burlap and string and placed them","i",2,"wrapped","wait","2","going","2","seen","2","around","2","maybe","2","something","2","definitely","2","worried","2","no","2","its","2",0.339999999996508,FALSE
"314","Here is where my Ladies in Waiting: Red Arm Warmers is taking me. I am going to paint the edges of the blocks black (i think...still undecided on that one) and attach glass to the front with the help of my handy husband.","here is where my ladies in waiting red arm warmers is taking me i am going to paint the edges of the blocks black i thinkstill undecided on that one and attach glass to the",36,"front","front","4","the","41C","front","31A","to","42F","of","42A","the","32B","front","31B","kisses","31B","the","32C","glory","42A",0.30000000000291,TRUE
"315","We want to you share this special character or book/series with us and your followers. Tell us about them: share pictures, passages, quotes, excerpts, etc. Then offer that book as a giveaway to share the love. We all want the chance to be besotted, carried away, and/or charmed. So, introduce us to that special character that has left you love-struck.","we want to you share this special character or bookseries with us and your followers tell us about them",20,"share","share","4","share","3","them","41C","share","31A","them","32B","this","32B","share","31B","changes","31B","and","31B","little","32C",0.279999999998836,TRUE
"316","In true optimist fashion, I've decided to post a few of the things I'm most looking forward to about our move.","in true optimist fashion ive decided to",8,"post","post","4","post","31B","decided","32C","post","31A","make","31A","admit","31A","to","31B","a","3","it","3","down","3",0.229999999995925,TRUE
"317","While he was at the hospital, all the hospital staff, especially the nurses love to talk and entertain him … he was simply adorable … always like to mimic them, smile at them sweetly even though he was sick. He loves to chat with them while they cleaned him up or inserted medicine thru his drip.","while he was at the hospital all the hospital staff",11,"especially","the","31B","staff","31B","all","31B","gantz","2","the","2","as","2","the","21","especially","2","often","2","benny","2",0.190000000002328,TRUE
"318","I had some goals to workout just as much and eat well on my week off Feb. weight loss challenge. I however did not stick to them. I let stress get to me and had a few days where I ate some junk food and drank a couple sodas. I also only exercised about three of the days. I surprisingly lost a half a pound still even on my week off. So I am thinking building some muscle doing more strength training is helping me burn calories easier. I am totally ready for this challenge again. So I am going to blog once again while I am doing the 21 Day Mommy Bloggers Weight Loss Challenge, sponsored by Dustin Maher.","i had some goals to workout just as much and eat well on my week off feb weight loss challenge i however did not stick to them i let stress get to me and had a few days where i ate some junk food and drank a couple sodas i also only exercised about three of the days i surprisingly lost a half",64,"a","pound","4","a","31A","a","31B","a","32C","a","4","half","31B","two","3","pound","3","formed","3","to","3",0.270000000004075,TRUE
"319","Morello: What was yesterday?","morello what",3,"was","was","3","was","21","yesterday","21","want","2","had","2","needed","2","iron","2","wanted","2","taken","2","was","2",0.0899999999965075,TRUE
"320","The pragmatic and the ideal are one and the same.","the pragmatic and the",5,"ideal","the","31B","and","32C","groom","32A","last","32A","first","32A","story","32A","short","32A","fears","32A","ankles","32A","knee","32A",0.190000000002328,FALSE
"321","“Can I tell you something?” I asked him.","“can i tell you something” i asked",8,"him","my","3","how","3","him","3","think","32B","was","32B","it","32B","answered","2","guest","2","play","2","it","2",0.19999999999709,TRUE
"322","Article and images by José Soto","article and images by jos�",6,"soto","soto","4","soto","3","jos�","41C","soto","2","soto","31A","soto","31B","jos�","32C","jos�","31B","by","32C","way","32B",0.270000000004075,TRUE
"323","Pacific National Exhibition Park, Vancouver, Canada - April 8th, 1975 source #1","pacific",2,"national","kelp","2","national","2","giant","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"324","What it is most famous for though is solving difficult situations. Can’t figure out whose turn it is to pick up dog poop? Rock, paper, scissors. Can’t remember who’s supposed to do the dishes? Rock, paper, scissors. One kid claims another kid cut him in line but you don’t know who to believe? Rock, paper, scissors.","what it is most famous for though is solving difficult situations can’t figure",14,"out","how","2","whose","2","was","2","on","2","what","2","walking","2","live","2","takes","2","always","2","improve","2",0.139999999999418,FALSE
"325","John G. Farrell, 32, New York, N.Y.","john g farrell new york",6,"ny","ny","4","york","41C","ny","31A","new","42F","ny","31B","york","32B","york","32C","and","3","on","3","where","3",0.30000000000291,TRUE
"326","what exactly does it mean to be well behaved and do I stand firm in those definitions?","what exactly does it mean to be well behaved and do i stand firm in those",17,"definitions","definitions","3","those","41C","in","52J","in","42F","malacca","31B","those","31B","those","32C","way","32B","those","32B","in","32C",0.260000000009313,TRUE
"327","Oh, it’s WandErection, I mean, One Direction… Never heard of them…","oh it’s wanderection i mean one direction�",8,"never","that","32C","small","32B","of","32B","one","32C","if","32C","day","21","them","21","weeks","21","my","21","those","21",0.220000000001164,FALSE
"328","I couldn't find a tester at the time, so I hoped for the best.","i couldnt find a tester at the time so i hoped",12,"for","for","5","the","4","for","41A","for","41B","i","52J","the","3","for","31A","for","41C","hoped","42F","can","51D",0.489999999990687,TRUE
"329","Story content will have everything to do with three little boys deciding to color Easter eggs without me. I told them we would would color eggs when I came back from the grocery store. They called me on my cell while I was shopping to say they decorated the eggs without me. They were so proud.","story content will have everything to do with three",10,"little","little","4","any","52D","little","31A","in","3","anyone","41C","of","41C","on","41C","little","3","kids","3","days","2",0.330000000001746,TRUE
"330","in order to fly towards sunlight, freedom and discovery like a butterfly.","in order to fly towards sunlight freedom and discovery",10,"like","a","3","they","31B","a","2","and","32C","like","3","like","2","half","21","am","21","suk","21","bit","21",0.229999999995925,TRUE
"331","I wonder what Kevin Donlan has in mind when he speaks of “a new model for a new day.” I have finished a careful study of the new Rwandan canons and the Anglican Mission canonical charter. They evidence the strong influence of the Roman Catholic Code of Canon Law in language, doctrine, norms, and principles. In a number of places the Rwandan canons clearly are repudiation of the Thirty-Nine Articles and of authentic historic Anglicanism, and embrace in their place the dogmas of the Council of Trent. The provisions governing the relationship of the Rwandan Primate with Anglican Primatial Vicar Chuck Murphy are based upon the provisions of the Roman Catholic Code of Canon Law governing the relationship of the Pope to lesser bishops of the Roman Catholic Church. This causes me also to wonder what part Donlan himself played in their formulation.","i wonder what kevin donlan has in mind when he speaks of “a new model for a new day” i have finished a careful study of the new rwandan canons and the anglican mission canonical charter they evidence the strong influence of the roman catholic code of canon law in language doctrine norms and principles in a number of places the rwandan canons clearly are repudiation of the thirtynine articles and of authentic historic anglicanism and embrace in their place",81,"the","the","4","the","3","their","42F","their","32C","the","31B","white","31A","light","31A","the","31A","of","31A","place","31B",0.279999999998836,TRUE
"332","slightly familiar","slightly",2,"familiar","familiar","2","sour","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"333","The first thing that came to mind was this:","the first thing",4,"that","that","4","will","3","that","3","i","3","to","31A","that","31A","i","31A","here","31A","time","31B","like","31B",0.14000000001397,TRUE
"334","Knowledge is not power but what is done with it","knowledge is not power but what is",8,"done","done","4","is","41C","what","42F","manifested","32A","is","32B","is","32C","one","31A","done","31A","a","31A","not","31A",0.279999999998836,TRUE
"335","The only thing I might change (but I love my journey and wouldn't REALLY change anything) is I would have learned about the term unschooling sooner, and maybe been introduced to authors like John Holt.","the only thing i might change but i love my journey and wouldnt really change anything is i would",20,"have","have","4","would","41C","have","31A","i","42F","would","32C","want","32B","to","32B","would","32B","want","31B","also","31B",0.299999999988358,TRUE
"336","HAPPY BIRTHDAY TO JAN MARIE today and many days to come! I was in Denver last summer and was able to meet this wonderful lady in PERSON! That was a real treat because you talk to people on a blog but to meet in person is really special. And by the way...Mike the shipping guy (her husband) is a one super fellow too. So my wish for today to Jan Marie is to have a day of happiness, laughter, relaxation, and so much fun you can't see straight!","happy birthday to jan marie today and many days to come i was in denver last summer and was able to meet this wonderful lady in person that was a real treat because you talk to people on a blog but to meet in person is really special and by the waymike the shipping guy her husband is a one super fellow too so my wish for today to jan marie is to have a day of happiness",79,"laughter","of","52J","weeks","41C","laughter","2","of","42F","fun","42E","cache","42E","the","42E","happiness","41C","weeks","31B","break","31B",0.270000000004075,TRUE
"337","so what are you totally loving this week?","so what are you",5,"totally","totally","4","you","41C","totally","31A","do","31A","like","31B","totally","31B","few","31B","now","3","to","3","not","3",0.229999999995925,TRUE
"338","4. Pisces (Oberg) 1:26","pisces",2,"oberg","oberg","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"339","Kerri says that's in case of swelling, and a full cast will go on for another five weeks after review.","kerri says thats in case of swelling and a full cast will go on for another five weeks after",20,"review","after","31B","catching","3","review","3","weeks","32C","go","21","may","21","well","21","least","21","thank","21","today","21",0.229999999995925,TRUE
"340","It’s not necessarily that young Christians are apathetic, or less concerned about moral causes than their parents, or disillusioned after voting for Obama, say voters themselves and those attentive to their concerns.","it’s",2,"not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"341","You may have been wondering why I have not been so active here on my Blog. Well, I've had a lot going on in my life right now and a few projects as well.","you may have been wondering why i have not been so active here on my blog well ive",19,"had","had","5","ive","51D","a","4","had","41A","had","41B","well","52J","had","41C","a","3","had","31A","ive","42C",0.440000000002328,TRUE
"342","to not let money stand in the way of their dreams.","to not let money",5,"stand","stand","4","in","3","stand","31A","go","41C","money","41C","stand","31B","stand","3","go","31B","on","32A","or","32A",0.230000000010477,TRUE
"343","On September 11, 2002 I was walking through Ground Zero in New York City, where the Twin Towers had been attacked just a year ago by terrorists. As I was standing there watching people go through all those feeling and emotions of sadness, I discovered the style of photography that I love and feel passionate about–street photography.","on september i was walking through ground zero in new york city where the twin towers had been attacked just a year ago by terrorists as i was standing there watching",32,"people","there","42F","to","32B","there","32C","go","2","next","2","third","2","waving","2","people","2","whether","2","bachelor","2",0.25,TRUE
"344","Can you remember back to when you had babies to care for and how careful you were with their bedding? You'd make sure the sheets were clean and straight, you'd make the little bed several times a day and as soon as there was a wet sheet, into the washing machine it would go. You did those things, and more, because you knew how important that bed was to your baby. Well, I might be reverting to babyhood because I tend my bed as carefully as I would a cot or crib and I do it because sleep is important. Now let me declare my bias here up front. I LOVE my bed, always have, always will. I am a good sleeper. I'm rarely in bed more than ten minutes before I'm sound asleep. But I also do a lot of my thinking in bed in the cool dark hours of the morning and being in an uncomfortable bed would not be conducive to my sleeping or thinking. If I want to get the most out of every day, I need to sleep well.","can you remember back to when you had babies to care for and how careful you were with",19,"their","their","4","their","3","were","42F","not","31A","their","31A","were","32C","senior","31B","their","31B","fire","31B","a","31B",0.269999999989523,TRUE
"345","So, after all that, you deserve a freebie.. But guess what, you're not getting just ANY freebie, you're getting a freebie with a chance to WIN!","so after all that you deserve a freebie but guess what youre not getting just any freebie youre getting a freebie with a chance to",26,"win","win","5","win","41A","win","41B","down","4","win","41C","down","3","to","32B","sit","31B","win","31B","sit","4",0.360000000000582,TRUE
"346","This voluminous human figure takes on a trinitarian shape,","this",2,"voluminous","like","2","school","2","new","2","time","2","week","2","post","2","can","2","may","2","still","2","one","2",0.0299999999988358,FALSE
"347","Sam has just begun his search for his bike. Today, Sam went with his dad to check out bikes at two different stores. He is deciding between the Surly Long Haul Trucker and the Specialized Tricross. He will put the order in for the bike by the end of the week, and will have it under his feet soon.","sam has just begun his search for his bike today sam went with his dad to check out bikes at two different stores he is deciding between the surly long haul trucker and the specialized tricross he will put the order in for the bike by the end",49,"of","of","5","end","51D","the","4","of","41A","of","41B","the","52J","of","41C","of","31A","end","42C","end","42E",0.5,TRUE
"348","“The insurgency’s safe haven in Pakistan, as well as the limited capacity of the Afghan government, remain the biggest risks to the process of turning security gains into a durable and sustainable Afghanistan,” according to the report.","“the insurgency’s safe haven in pakistan as well as the limited capacity of the afghan government remain the biggest risks to the process of turning security",27,"gains","to","31B","into","2","taxes","2","gains","2","within","31B","security","31B","turning","32C","looking","32C","building","32C","testing","32C",0.220000000001164,TRUE
"349","I've had a great time. And I really look forward to working on these again next year. That is if anyone will have me as their Baker! (hint. hint)","ive had",3,"a","lot","3","great","3","on","3","a","3","it","3","lot","2","work","2","big","2","do","2","made","21",0.0599999999976717,TRUE
"350","a door that opened deep within.","a",2,"door","days","2","hours","2","minutes","2","back","2","nice","2","day","2","like","2","year","2","now","2","new","2",0.0600000000122236,FALSE
"351","So, today we went and got some birthday pictures made of the girls. I just took the cheap route, with JC Penny. It is always so challenging to get a good picutre of them. I really hope to get my friend to photograph them before we leave, maybe in the Spring. Anyway, we got a couple of good ones. Carolina turned out to be the harder one, because almost all of hers were fake smiles. So, then she wanted sausage and eggs, so we headed to Cracker Barrell. Then we went to Classroom Corner and got a few ""learning"" things. I got her some lined paper to help in practicing her writing and some dot-to-dot books, she loves! On the way home you could see the sky forever and the clouds were so interesting against a bright blue. I told Lina to look how big God must be to such a huge sky. She said , yes, He must be that big, then she said ""those clouds are so rowdy!"" I'm not sure where she came up with that one.","so today we went and got some birthday pictures made of the girls i just took the cheap route with jc penny it is always so challenging to get a good picutre of them i really hope to get my friend to photograph them before we leave maybe in the spring anyway we got a couple of good ones carolina turned out to be the harder one because almost all of hers were fake smiles so then she wanted sausage and eggs so we headed to barrell then we went to classroom corner and got a few learning things i got her some lined",105,"paper","paper","4","lined","51D","lined","41C","to","3","paper","31A","lined","42C","lined","42E","paper","31B","paper","3","lined","42F",0.439999999987776,TRUE
"352","Imagine An& complain and say the ACIB need restructuring…..is 20 months you in charge of it An& and you aint do anything to fix it? http://www.newsday.co.tt/news/0,155240.html","imagine an complain and say the acib need restructuring�is",10,"months","need","42F","need","32C","tell","32B","to","32B","currently","32B","know","21","do","21","sell","21","be","21","tell","21",0.220000000001164,FALSE
"353","JUNIOR FACULTY","junior",2,"faculty","faculty","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"354","There are four faces of this pyramid, one for each direction. The serpent is activated on the Spring (planting, open to receive new seeds) and Fall Equinoxes (harvesting the seeds planted from spring… that is to say, Full use of all that was planted in spring.)","there are four faces of this pyramid one for each direction the serpent is activated on the spring planting open to receive new",24,"seeds","seeds","4","seeds","3","new","41C","seeds","31B","new","32B","new","32C","new","31B","eight","31B","way","31A","people","31A",0.25,TRUE
"355","The days have fallen into a simple routine of golf in the morning, before it gets too hot, a bit of a nap, lunch, another nap, a dip in the pool, a walk on the beach and a cocktail or two before dinner.","the days have",4,"fallen","fallen","4","fallen","3","fallen","31B","june","31B","her","31B","decided","31A","fallen","31A","st","31A","cooled","31A","to","31A",0.149999999994179,TRUE
"356","Graduating Senior - Open houses - Parties!","graduating senior open houses",5,"parties","parties","3","houses","31B","parties","2","canvassed","2","love","21","beer","21","parties","21","door","21","receive","21","forthright","21",0.100000000005821,TRUE
"357","I’m a very weird person. I like taking pictures of everything….literally. I say literally more than the average human being. I suppose by saying literally it will enforce the fact that what I am saying is so literal that you can have zero questions about it. Its weird. I have an odd obsession with pronouncing words correctly. People make fun of me and the way I say “clothes”. I literally (here we go) say kuh-lo-thiz. Thats probably phonetically wrong but it just sounds like it is spelled. I was terrible in English though. I don’t know why I have that habit. I’m severely random. I get excited about new things, hence the reason I started a blog. I make weird faces and noises. All day, errrryday. But that’s me. When I’m really tired I start to get even weirder. Ok, done rambling.","i’m a very weird person i like taking pictures of everything�literally i say literally more than the average human being i suppose by saying literally it will enforce the fact that what i am saying is so literal that you can have zero questions about it its weird i have an odd obsession with pronouncing words correctly people make fun of me and the way i say “clothes” i literally here we go say kuhlothiz thats probably phonetically wrong but it just sounds like it is spelled i was terrible in english though i don’t know why i have that habit i’m severely random i get excited about new things hence the reason i started a blog i make weird faces and noises all day errrryday but that’s me when i’m really tired i start to get",138,"even","even","5","even","4","get","51D","even","41B","even","41C","even","31A","get","42C","get","42E","get","42F","even","41A",0.470000000001164,TRUE
"358","As much as she enjoys making the pint-size desserts, Colleen seems to have just as much fun naming them, particularly since it allows her to blend her two loves: food and music.","as much as she enjoys making the pintsize desserts colleen seems to have just as much fun naming them",20,"particularly","them","41C","them","31B","naming","42F","particularly","21","them","32B","cant","32C","the","32C","them","32C","naming","32C","in","32C",0.25,TRUE
"359","The house, built by George Washington Vanderbilt II (grandson to railroad tycoon Cornelius ""Commodore"" Vanderbilt) is extremely impressive. Finished in 1895, the 135,000 square foot house contains 250 rooms, including a 70,000 gallon heated indoor swimming pool and a bowling alley. It remains today as the largest privately-owned home in the country.","the house built by george washington vanderbilt ii grandson to railroad tycoon cornelius commodore vanderbilt is extremely impressive finished in the square foot house contains rooms including a gallon heated indoor swimming pool and a bowling alley it remains today",41,"as","as","4","the","3","as","31A","as","31B","remains","32C","as","3","and","31A","today","31B","wingate","21","as","21",0.259999999994761,TRUE
"360","12. Get Up","get",2,"up","chores","2","another","2","get","2","back","2","see","2","home","2","right","2","fun","2","one","2","friend","2",0.0299999999988358,FALSE
"361","Deze is gemaakt met het stempeltje 'Sweet Tilda'. Het papier dat ik gebruikt heb is weer van DCWV, 'Linen Closet'.","deze is gemaakt met het stempeltje sweet tilda het",10,"papier","dat","3","het","31B","papier","3","sweet","2","dat","2","papier","21","papier","2","stempeltje","2","het","21",NA,NA,0.210000000006403,TRUE
"362","As well as Kouhaku, the sun rising over Mount Fuji was broadcast on live on tv, and I ate soba! So that was my fairly authenic seeing-in of the new year. By the way, my Chinese horoscope is Dragon, so 2012 is my year!","as well as kouhaku the sun rising over mount fuji was broadcast on live on tv",17,"and","i","4","and","41A","and","41B","and","5","and","41C","i","5","i","3","and","31A","on","42F","and","4",0.389999999999418,TRUE
"363","That will be revealed in the last book of the series...","that will",3,"be","ever","3","indeed","3","of","3","soon","3","speak","3","be","3","go","2","also","2","see","2","make","2",0.0399999999935972,TRUE
"364","Below are a few pictures from my camera lens of Hong Kong during this festival -","below are a few pictures from my camera lens of hong kong during",14,"this","this","3","during","41C","during","31B","kong","42F","during","32B","during","32C","this","21","festival","21","kong","32C","reign","2",0.25,TRUE
"365","Elyse is not the only one keeping secrets. There are others like her all over the world, descendants of the very people the Greeks considered gods. She is one of them, and they have been waiting for her.","elyse is not the only one keeping secrets there are others like her all over the",17,"world","the","41C","over","42F","but","4","world","4","the","32B","world","31B","place","4","web","4","the","31B","weekends","32A",0.330000000001746,TRUE
"366","Demtem an asset to the nation, and pursuant to the oppressed and the good brother and the support.","demtem an asset to the nation and",8,"pursuant","pursuant","3","and","41C","nation","42F","lament","31B","and","32B","it","41B","she","41B","they","41B","by","41B","i","31B",0.330000000001746,TRUE
"367","The children are in school for five and a half hours a day. If they sleep ten hours, they still have seven and a half hours to play and socialize. Surely, for the short time allotted to their formal education, they should be expected to be quiet, attentive, focused on challenging material in a peaceful atmosphere which is conductive to learning.","the",2,"children","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2","tooth","2","upstairs","2","states","2","during","2",0.0299999999988358,FALSE
"368","Side by side, like he is asleep,","side by side like",5,"he","he","5","is","4","he","41A","he","41B","he","41C","is","3","he","31A","he","31B","like","32B","he","4",0.230000000010477,TRUE
"369","In April 2006, Leeds university authorities subjected Dr Frank Ellis to an Inquisition after he had an interview published in “Leeds Student"". Dr Ellis was sought out for the interview with political bias in mind because of his “peculiar and extreme views"". He and his interviewer ranged over many topics but what ignited prejudice against him were his remarks that the average black has a lower IQ than the average white or Asian; that he believed we need to introduce a policy of humane repatriation. There were the usual demonstrations by Unite Against Fascism. The University's decision was purely to persecute a man for holding the wrong opinion: he treated his students fairly and impartially as the interviewer acknowledged Dr Ellis’s “excellent rapport with his students and colleagues"". Further, Leeds have a system to prevent unfair marking as the candidate's paper is anonymous and each is marked by 3 different tutors. He was investigated by the West Yorkshire police for incitement to racial hatred. So what is the problem? Dr Ellis was not disciplined for his conduct towards his students, which was exemplary, but persecuted for not expressing the right thoughts on race. In an interview on Talk Sport Ian Collins screamed at Ellis, ”You're mad!” (7)","in april leeds university authorities subjected dr frank ellis to an inquisition after he had an interview published in “leeds student dr ellis was sought out for the interview with political bias in mind because of his “peculiar and extreme views he and his interviewer ranged over many topics but what ignited prejudice against him were his remarks that the average black has a lower iq than the average white or asian that he believed we need to introduce a",81,"policy","policy","3","a","41C","a","31B","strong","32A","a","32B","know","42F","the","42F","them","42F","policy","21","to","21",0.360000000000582,TRUE
"370","But it cannot define you. Not any more. You are a wild pig rooting for truffles. You are a weasel about to rip the throat out of a rabbit. You are an entrepreneur. You are going to be rich, and you don't much care, within the law, how you are going to do it. Or what must be sacrificed in the attempt.","but it cannot define you not any more you are a wild pig rooting for truffles you are a weasel about",22,"to","to","4","about","41C","rip","3","into","42D","to","31B","about","32B","to","3","geek","42F","pig","42F","about","31B",0.329999999987194,TRUE
"371","So, what does Andrew get to do for revealing? He gets to throw someone in the brig!","so what does andrew get",6,"to","to","4","get","41C","do","3","to","31A","andrew","42F","to","31B","get","32B","to","3","get","31B","get","32C",0.270000000004075,TRUE
"372","Different ideas. I’d like to dress up as each of my friends and take their portrait, a portrait of me, an homage. Maybe I’ll do it but I wonder if it’s worth it.","different ideas i’d like to dress up as each of my friends and take their portrait a portrait of me an homage maybe i’ll do it but i wonder if it’s worth",33,"it","the","42F","the","32C","people","2","just","2","effort","2","try","2","million","2","detour","2","telling","2","examining","2",0.169999999998254,FALSE
"373","I really need to start planning more seriously before buying. And then follow through on those plans. Before Christmas I had a vague, half formed idea in my head that it would be really good to make dried apricots in brandy as a gift for my lovely mother. Sadly, time ran away with me and they never did get made. I did accomplish the first step of the plan to make them though... I bought the dried apricots. Really quite a lot of apricots as it happens, because the Kilner jar I was planning on using can take quite a lot of fruit and I thought having a few spare wouldn't be a problem.","i really need to start planning more seriously before buying and then follow through on those plans before christmas i had a vague half formed idea in my head that",31,"it","it","5","it","4","that","51D","it","41A","it","41B","it","41C","would","3","it","31A","that","42C","that","42E",0.419999999998254,TRUE
"374","Let it bloom,","let it",3,"bloom","bloom","3","go","21","know","21","get","21","say","21","little","21","stand","21","associate","21","bloom","21","declare","21",0.100000000005821,TRUE
"375","Take an optimist viewpoint. Look for the opportunity in a seemingly “bad” situation.","take an optimist viewpoint look for the opportunity in",10,"a","a","4","a","3","a","31B","to","31B","in","31B","either","32A","eu","32A","the","32A","an","32A","meet","21",0.259999999994761,TRUE
"376","11/2 tablespoons diced onion","tablespoons",2,"diced","diced","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"377","I jumped off the tram at the University stop and headed down to the Bath to see if it was open, but as we all now know it wasn't, though teasingly the lights were on. So I popped in Betty's for a fishcake butty (my evening meal) before heading up to Harrisons 1854. Here the Deception was back on form so I had a pint or two of that and caught up with Barraharri before I made the rash decision to go and get some late tipples at Dada.","i jumped off the tram at the university stop and headed down to the bath to see if it was open but as we all now know it wasnt though teasingly the",33,"lights","lights","3","trials","31A","the","31B","lights","21","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2",0.220000000001164,TRUE
"378","Soaring Spirit","soaring",2,"spirit","and","2","quality","2","spirit","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"379","211Labour and rest, that equal periods keep;","labour and rest",4,"that","that","4","equal","3","that","31A","that","31B","that","3","rest","31B","full","2","equal","2","the","2","on","2",0.130000000004657,TRUE
