"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"641","of strangers, but come out from the rest, that they may follow Him without","of strangers but come out from the rest that they may",12,"follow","follow","4","may","41C","they","42F","follow","31A",0.590000000003783,TRUE
"642","Come on over to The Crazy Challenge and play along, we have so outstanding inspiration this week by team and our guest designer Claudia.","come on over to the crazy challenge and",9,"play","play","3","and","31B","challenge","32C","not","42D",0.560000000004948,TRUE
"643","I have two daughters, so I knew I was going to write a heroine. But I wanted the books to have a mythic quality, after all we’re talking about Templars and monsters and archangels. So I based Billi on the mythic heroines like Athene, like Boudica and the Rani of Jhansi, all powerful warriors as well as being female.","i have two daughters so i knew i was going to write a heroine but i wanted the books to have a mythic quality after all",27,"we’re","all","31B","after","32C","time","3","you","3",0.44999999999709,FALSE
"644","Never sent We a messenger or a prophet before thee but when He recited (the message) Satan proposed (opposition) in respect of that which he recited thereof. But Allah abolisheth that which Satan proposeth. Then Allah establisheth His revelations. Allah is Knower, Wise;","never",2,"sent","of","2","forget","2","really","2","heard","2",0.069999999999709,FALSE
"645","But I did want her to have at least PART of my imaginary Paris experience, so I used her pretty Paris stamp to make her birthday card.","but i did want her to have at least",10,"part","part","4","least","51D","least","41C","at","52J",0.75,TRUE
"646","Informed readers of “Models of Sickness and Disability” might wonder why something that has been repeatedly shown not to be a successful model is being promoted by a UK Government.","informed readers of “models of sickness and disability” might",10,"wonder","the","2","to","2","a","2","been","2",0.290000000000873,FALSE
"647","(Sunday Morning Edit – on the basis that the Sunday papers appear to have nothing else in them other than Rangers, I will follow the new developments up later – but I have typed this stuff, so it’s going in!)","sunday morning edit – on",6,"the","back","2","internet","2","week","2","way","2",0.220000000001164,FALSE
"648","Let's attack it point by point. His biggest mistake: confusing the shilling Ales of the 19th century with the shilling Pale Ales of the 20th. Yes they were 60/- to 140/- or even 160/- Ales. But these were the thick sweet type of Ales than resembled Burton Ale.","lets attack it point by point his biggest mistake confusing the shilling ales of the th century with the shilling pale ales of the th yes they were to or even ales but these were the thick sweet type of ales",42,"than","than","4","than","3","ales","41C","than","31A",0.57999999999447,TRUE
"649","You can roll it on or brush it on.","you",2,"can","going","2","me","2","see","2","why","2",0.0100000000020373,FALSE
"650","Pretty cool. C","pretty cool",3,"c","im","3","well","3","and","3","to","3",0.160000000003492,FALSE
"651","And the melody that He gave to me","and",2,"the","half","2","bit","2","think","2","suk","2",0.0499999999956344,FALSE
"652","Wild organ, fast and hard drums, out of control tenor sax—this was the sound of East Coast Young America. Jerry Gross, Arnie Silver and Mike Freda join in:","wild organ fast",4,"and","and","4","hard","3","and","31A","and","31B",0.220000000001164,TRUE
"653","Buying Guide","buying",2,"guide","a","2","i","2","then","2","night","2",0.0400000000008731,FALSE
"654","Beervana - was a phrase coined in Oregon to describe the burgeoning craft beer movement that had taken hold here in the 1980s. And indeed, it's an apt description, as those who are actively involved in the beer community think of it a near-religious experience to make and enjoy well-made brew.","beervana was a phrase coined in oregon to describe the burgeoning craft beer movement that had taken hold here in the s and indeed its an apt description as those who are actively involved",35,"in","in","3","saying","31B","the","42F","in","21",0.440000000002328,TRUE
"655","For he commandeth, and raiseth the stormy wind, which lifteth up the waves thereof.","for he commandeth and raiseth the stormy wind which",10,"lifteth","lifteth","3","which","31B","wind","32C","we","32A",0.529999999998836,TRUE
"656","I’m certain that I’ve given, and oh how you can take","i’m certain that i’ve given and oh how you can",11,"take","take","5","take","4","take","41A","take","41B",0.849999999998545,TRUE
"657","Previously, i had shared in [L]ife [M]anagement that i maintain specific spreadsheets to aid me in controlling my budget and other aspects of life.","previously i had shared in life management that i maintain specific spreadsheets to aid me in controlling my",19,"budget","miss","41B","my","41C","my","31B","budget","21",0.620000000002619,TRUE
"658","Mega Millions Mojo","mega millions",3,"mojo","mojo","3","other","2","mojo","21","people","2",0.110000000000582,TRUE
"659","lot people that if you strike your pup at the rear-end every time he barks, you will presently discover that he s not supposed to roar. This method, although successful, could make your pup live in dread of being physically reprimanded, and steal the grade of a person’s romantic relationship.","lot people that if you strike your pup at the rearend every time he barks you will presently discover that he s not supposed to roar this method although successful could make your pup live in dread of being physically reprimanded and steal the grade of a",48,"person’s","a","51D","a","41C","a","31B","a","42C",0.75,FALSE
"660","Summary of the day: I ate michiotes (you gotta try them, they’re SO good!), let my kid jump around in the bouncy castle like a madwoman on a hopping spree and entertained both myself and her with the clown. A Saturday well spent.","summary of the day i ate michiotes you gotta try them they’re so good let my kid jump around in the bouncy",23,"castle","castle","4","castle","3","castle","31A","the","42F",0.659999999996217,TRUE
"661","The truth is, if you aren't living as an ethical vegan, you are paying other human animals to imprison your fellow animals, to murder their babies and to murder them...to keep them from the 'available to all' pleasures of the Earth. Or maybe you're committing those horrors yourself, directly...I don't know.","the truth",3,"is","the","3","was","3","it","3","what","3",0.139999999999418,FALSE
"662","While I sound positive, my heart hurts.","while i sound positive my heart",7,"hurts","heart","31B","my","42F","playlist","32B","my","32C",0.529999999998836,FALSE
"663","Ben's dog is very pleased that I just gave her a new bone to chew on lol. Her name is Hershey and she misses her family VERY much. She didn't eat for the first couple of days. Now she's sleeping upstairs in Ben's room with me, eating her food, playing outside, and happy to have a bone. She doesn't like it when *I* leave to go home for a little bit though. She's taken things from Ben's room a couple of times, gotten into the trash, etc.","bens dog is very pleased that i just gave her a new bone to chew on lol her name is hershey and she misses her family very much she didnt eat for the first couple of days now shes sleeping upstairs in bens room with me eating her food playing outside and happy to have a bone she doesnt like it when i leave to go home for a little bit though shes taken things from",77,"bens","from","31B","to","3","things","32C","a","31A",0.440000000002328,FALSE
"664","But when the international community treats the Jewish state with contempt, Israelis tend to reciprocate. The result is a stiffening of hard-line attitudes.","but when the international community treats the",8,"jewish","jewish","3","the","31B","i","21","when","21",0.370000000002619,TRUE
"665","I joined the Palo Alto Run Club (PARC) last May, a group full of talented, hard working running and got a bunch of great runs in. Those ""easy"" five milers where we'd start hitting 6:25, 6:10 pace I think paid off. Do enough 6:25 miles in your regular runs, and it'll start seeming like nothing. And there's something about the shared experience of a run with others that makes all the hard work more meaningful.","i joined the palo alto run club parc last may a group full of talented hard working running and got a bunch of great runs in those easy five milers where wed start hitting pace i think paid off do enough miles in your regular runs and itll",49,"start","start","4","start","3","start","31A","and","32C",0.559999999997672,TRUE
"666","You see, for me there will be no spring – not as you know it, anyway. There will be no winter either. Instead I will go beyond the parts, rising up into the clouds, soaring through the pink and the blue, merging with the vastness of infinity - that from which I sprung - as you did too.","you see for me there will be no spring – not as you know it anyway there will be no winter either instead i will go beyond the parts rising up into the clouds soaring through the pink and the blue merging with the vastness of infinity that from which i",52,"sprung","sprung","4","i","41C","sprung","31B","i","32C",0.580000000001746,TRUE
"667","And you, my father, there on the sad height,","and you my father",5,"there","there","4","father","41C","there","31A","on","3",0.409999999996217,TRUE
"668","I rationalize this choice by convincing myself","i rationalize this choice by convincing",7,"myself","myself","3","convincing","31B","team","32B","by","32C",0.470000000001164,TRUE
"669","those summer storms swelling","those summer",3,"storms","storms","3","you","21","to","2","a","2",0.139999999999418,TRUE
"670","03) Kashmir (Led Zeppelin","kashmir",2,"led","zeppelin","2","led","2",NA,NA,NA,NA,0.0800000000017462,TRUE
"671","After Revelation of Jesus Christ 22:21 I have great doubt they knew that they were doing.","after revelation",3,"of","of","3","jesus","2","the","21","of","21",0.139999999999418,TRUE
"672","Al Gore's Internets are a perfectly viable place to establish lasting friendships.","al gores internets are a perfectly",7,"viable","viable","3","a","32C","the","2","im","2",0.44999999999709,TRUE
"673","""You know what I think? she says.","you know what i think she",7,"says","mean","52J","says","4","doesnt","4","of","42E",0.870000000002619,TRUE
"674","Daddy and I could have never imagined the joy you would bring into our lives. And we would have never believed that at age 8 you would be in the middle of a fundraising goal to help people you might never meet. Its thrilling to see your relationship with God grow, and a blessing to be able to see Him challenge you through this. We love you.","daddy and i could have never imagined the joy you would bring into our lives and we would have never believed that at age you would be in the middle",31,"of","of","5","of","41A","of","41B","the","52J",1.06999999999971,TRUE
"675","Saturday, September 26th is Museum Day, sponsored by The Smithsonian. Their web site has a place you can click to print yourself a free admission pass for two to any participating museum.","saturday september th is",5,"museum","day","3","is","31B","museum","3","century","21",0.220000000001164,TRUE
"676","- Snacks. My hubby was starving the whole two days. And seriously, how many fruit cups can you eat before you never want to see another one again?","snacks my hubby was starving the whole two days and seriously how many fruit cups can you eat before you never want",23,"to","to","4","see","3","never","42F","to","3",0.589999999996508,TRUE
"677","“His message is kept in the hearts of humans,” he continued. “How broken and frail are we that he has placed his most precious gift? Yet, he asks us to keep it safe and spread it around for everyone else.”","“his message is kept in the hearts of humans” he continued “how broken and frail are we that he has placed his most precious gift yet he asks us to keep it safe and spread it around",38,"for","for","4","around","41C","for","31A","it","42F",0.620000000002619,TRUE
"678","The job.","the",2,"job","york","2","menu","2","hand","2","century","2",0.0500000000029104,FALSE
"679","11And I, brethren, if I yet preach circumcision, why do I yet suffer persecution? then is the offence of the cross ceased.","and i brethren if i yet preach circumcision why",10,"do","do","3","do","21","yet","21","was","2",0.389999999999418,TRUE
"680","I unconsciously transform, and I consciously rebuild.","i unconsciously",3,"transform","wait","21","spent","21","longer","21","together","21",0.0599999999976717,FALSE
"681","It used to be called illegitimacy. Now it is the new normal. After steadily rising for five decades, the share of children born to unmarried women has crossed a threshold: more than half of births to American women under 30 occur outside marriage.","it used to be called illegitimacy now it is the new normal after steadily rising for five decades the share of",22,"children","of","41C","of","31B","but","3","of","32B",0.569999999999709,FALSE
"682","QUOTE---Captain Aceveda ""You need to cool down and step back from this""","quotecaptain aceveda you need to cool down and step back from",12,"this","this","4","from","41C","this","31A","back","42F",0.650000000001455,TRUE
"683","How can I attract my own attention, since I obviously should go take a bath now and get in bed also?","how can i attract my own attention since i obviously should go take a bath now and get",19,"in","in","5","get","51D","bed","4","in","41A",0.830000000001746,TRUE
"684","Not sure what our plans are for today.","not sure what our plans are",7,"for","for","4","are","41C","today","3","plans","42F",0.75,TRUE
"685","Everything looks so yummy! And they last forever once they’re made.","everything looks so yummy and they last forever",9,"once","once","3","forever","31B","last","42F","grateful","2",0.589999999996508,TRUE
"686","Last Saturday we had another Hugs and Kisses class at Treehouse Textiles. Five gorgeous women, piles of beautiful fabrics, amazing food and lots of coffee and treats all added up to a wonderful day. One of the things I have really taken away from these classes is the inspiration and enjoyment you get from seeing how other crafters put together their fabric and colour choices.","last saturday we had another hugs and kisses",9,"class","at","3","kisses","31B","and","42F","their","32B",0.55000000000291,FALSE
"687","His is thick black suiting material (gabardine?) lined with a mad Union Jack print because he is fiercely patriotic and because it makes me think of sensible waistcoats with secret hidden outrageous linings.","his",2,"is","friend","2","the","2","to","2","a","2",0.0499999999956344,FALSE
"688","2010.08.31 India Kishtwar 1 0 A cop is murdered inside his home by Hizb-ul- Mujahideen.","india kishtwar a cop is murdered inside his home",10,"by","by","4","by","31A","by","31B","his","3",0.42000000000553,TRUE
"689","For so many years, I was so incredible in manifesting anything that I wanted in my world. I would write it in my journal, I would visualize it and I would believe it. Within 3 months, 6 months, or any time frame I set, it would show up. I know manifestation works because I’ve done it, tried it and succeeded at it. And now I’m taking a really deep, long breath, breathing into my heart and soul and being and just knowing that the right people, the right opportunities and clients are going to all come. I need to get out of my own way of any negative feelings and self-doubt. I mean, listen, I’m human. I know I need some of that or else I’d be on the stratosphere to the moon.","for so many years i was so incredible in manifesting anything that i wanted in my world i would write it in my journal i would visualize it and i would believe it within months months or any time frame i set it would show up i know manifestation works because i’ve done it tried it and succeeded at it and now i’m taking a",66,"really","deep","3","really","3","longterm","3","few","32A",0.409999999996217,TRUE
"690","Beth’s new blog, ://www.bethevansramos.wordpress.com/, will function as her website/blog combo. A sidebar calendar will have the venues she’ll be appearing at for speaking engagements and teaching workshops.","beth’s",2,"new",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"691","Starting with a wonderful loaf of going-stale bakery bread, I put together a recipe that I know will make its way into my breakfast repertoire on special occasions. When, I have a breakfast/brunch menu consisting of the usual sweet options (scones, muffins, fruit etc.), I plan on using this recipe to balance and offer guests a surprising and delightful twist on a classic.","starting with a wonderful loaf of goingstale bakery",9,"bread","bakery","31B","i","2","bakery","21","bread","2",0.389999999999418,TRUE
"692","Compared to these states, America has a special problem. These other countries are largely the result of “organic” historical processes that pushed their different populations together. America, by contrast, is much more the product of far-ranging economic processes, like Trans-Atlantic emigration from Europe and the African slave trade overlaid with modern mass immigration. Because of this different racial elements have been thrown together, and are much more disparate in character. This creates much greater ‘asymmetry’ in the differing racial characteristics, especially between Blacks and Whites.","compared to these states america has a special problem these other countries are largely the result of “organic” historical processes that pushed their different populations together america by contrast is much more the product of farranging economic processes like transatlantic emigration from europe and the african slave trade overlaid with modern mass immigration because of this different racial elements have been thrown together and are much more disparate",69,"in","in","3","character","2","more","42F","a","32C",0.529999999998836,TRUE
"693","Peel and slice beets very thinly or use a mandoline","peel and slice beets very thinly or use a",10,"mandoline","mandoline","4","a","51D","a","41C","a","42C",0.739999999997963,TRUE
"694","Dang that blue dress.","dang that",3,"blue","dress","3","blue","21","blue","3","am","2",0.150000000001455,TRUE
"695","Open Boat Time","open boat",3,"time","time","3","the","2","he","2","is","2",0.150000000001455,TRUE
"696","Front of Card:","front",2,"of","a","2","the","2","i","2","is","2",0.0299999999988358,FALSE
"697","Menehune Longboard Final 14 & Under, M/F)","menehune longboard",3,"final","final","2","longboard","21",NA,NA,NA,NA,0.139999999999418,TRUE
"698","Do you still feel accepted?","do you still",4,"feel","feel","4","unsure","3","feel","31A","feel","3",0.279999999998836,TRUE
"699","""Your decision to resign from the government demonstrates the importance you attach to your integrity.","your decision to resign from the",7,"government","the","41C","the","31B","the","32C","from","32C",0.55000000000291,FALSE
"700","And—here’s the positive part--we both added a lot of muscle. My biceps now have stretch marks. Women who work with my wife ask in awe if they can touch her arms. I can see actual ab muscles, even if they’re somewhat obscured by my something-less-than-flat midsection. After walking by a mirror at home, we sometimes have to stop because we see a new calf or shoulder muscle that we’ve never noticed before.","and—here’s the positive partwe both added a lot of muscle my biceps now have stretch marks women who work with my wife ask in awe if they can touch her arms i can see actual ab muscles even if they’re somewhat",42,"obscured","of","2","a","2","time","2","by","2",0.349999999998545,FALSE
"701","And write them.","and write",3,"them","it","3","for","3","next","3","the","3",0.110000000000582,FALSE
"702","I sliced the loaf horizontally into two, spread some meat sauce (minced beef cooked with some chopped onions and ready made tomatoe-based pasta sauce...very much like cooking a simple bolognese sauce) and topped it with mozzarella cheese before popping it into the oven. The meal was prepared under 15 minutes...with minimal preparation, cooking, and cleaning.","i sliced the loaf horizontally into two spread some meat sauce minced beef cooked with some chopped onions and ready made tomatoebased pasta saucevery much like cooking a simple bolognese sauce and topped it with mozzarella cheese before popping it into the oven the meal",46,"was","was","4","meal","41C","the","52J","was","31A",0.720000000001164,TRUE
"703","Carter, shut it. I’ll get you back.","carter shut it i’ll get",6,"you","confusing","31A","dirty","31A","day","2","us","2",0.269999999996799,FALSE
"704","Leaving my heart with no strings and leaving my name etched in mud.","leaving my heart with no strings and",8,"leaving","leaving","3","and","41C","and","31B","leaving","21",0.639999999999418,TRUE
"705","Knowing that we would be getting a new batch of chicks this spring, I contacted a few people and asked them if they would answer some interview questions. In return I told them, I would christen one of our new baby chicks after them. Just imagine, having a chicken named after you living in southern New Hampshire.","knowing that we would be getting a new batch of chicks this spring i contacted a few people and asked them if they would answer some interview questions",29,"in","to","2","we","2","it","2","your","2",0.310000000004948,FALSE
"706","The public was pleased to know all is well with their beloved Queen, and to hear it from her own sweet feline lips.","the public was pleased to know all is well with their beloved queen and to hear",17,"it","it","5","it","41A","it","41B","it","41C",0.75,TRUE
"707","That Math and Art is not connected.","that math and art",5,"is","is","5","not","4","is","41A","is","41B",0.549999999995634,TRUE
"708","I sure do miss Him.","i sure do",4,"miss","him","4","him","3","miss","4","miss","3",0.280000000006112,TRUE
"709","There is no randomness in the arrangement of those words in that statement. I never understood the order of the words nor did I ever bother to understand, rhetorically, parrot like, repeating the statement to everyone and anyone who had ears to hear – within context of course, but without much thought.","there is no",4,"randomness","here","4","one","4","such","4","reason","4",0.25,FALSE
"710","That’s trillion, with a T.","that’s trillion with",4,"a","t","3","a","3","a","21","t","21",0.189999999995052,TRUE
"711","So we trooped back home and hoped for the best. But we kept getting calls every evening from relatives who called us from the hospital lobby, demanding to see her. And were horrified by the family’s absence!","so we trooped back home and hoped for the best but we kept getting calls every evening from relatives who called us from the hospital lobby demanding to see",30,"her","her","4","her","31A","her","31B","to","32C",0.510000000002037,TRUE
"712","But I've also realized how many times I was manipulated. My mistake was believing in him, and believing that love could conquer anything and everything. Yes, love can be wonderful and strengthening and buoying, but only if it works both ways. In my situation, it simply wasn't. He has no clue how to love. Call it a mental deficiency, a chemical imbalance, it doesn't matter. I gave my love to the wrong person. Plain and simple.","but ive also realized how many times i was manipulated my mistake was believing in him and believing that love could conquer anything and everything yes love can be wonderful and strengthening and buoying but only if it works both ways in",43,"my","my","4","in","41C","my","31A","the","42D",0.819999999999709,TRUE
"713","This should be a dedicated air superiority platform with no surface attack or reconnaissance rolls. It should be designed with dog fighting as its primary function and therefore have the agility to defeat any hostile aircraft it meets. Its attributes should include;","this should be a dedicated air superiority platform with no surface attack or reconnaissance rolls it should",18,"be","be","4","be","31A","be","31B","as","3",0.529999999998836,TRUE
"714","I see the vulnerable or arrogant you;","i see the vulnerable or",6,"arrogant","or","31B","vulnerable","42F","arrogant","21","hear","32A",0.400000000001455,TRUE
"715","I'm hugely pleased and want to thank everyone who's been so supportive of my efforts on Facebook and Twitter and here on Raw Light over the past year. I know it can get confusing when I keep posting under different names, and people have been very patient and understanding about that.","im hugely pleased and want to thank everyone whos been so supportive of my efforts on facebook and twitter and here",22,"on","on","4","here","41C","on","31A","on","31B",0.599999999998545,TRUE
"716","Tickets to the luncheon are $10 per person, and available at the CVB Office at 707 Second Street. The CVB is taking R.S.V.P.s by phone at (318) 442-9546. Seating is limited.","tickets to the luncheon are per person and available at the cvb office at second street the",18,"cvb","the","41C","is","3","the","31B","the","32B",0.519999999996799,FALSE
"717","On Day 8, we changed the price from $2.99 to $3.99 at 8:00 pm. This was our first book to test our strategy, and we delayed the price change until the book crossed out of triple-digit ranking. In hindsight, we likely waited too long, but the first test is always the scariest.","on",2,"day","back","2","internet","2","week","2","way","2",0.0900000000037835,FALSE
"718","The world has lost its greatest beer writer. Michael Jackson passed away this morning, aged 65. Michael became world-famous in the late 80s with his television series ""The Beer Hunter"" on Discovery Channel.","the world has lost its greatest",7,"beer","beer","3","its","42F","when","31B","its","32C",0.5,TRUE
"719","Now I'll be blunt: I write the following to clear up some misconceptions about Elwood's work that have been allowed to foster on the internet, with several assertions having gone unchecked for the better part of a decade. I did not know Mr. Elwood nor any of his detractors, but a few claims need to be corrected (and, with a handful of exceptions, I own almost every title from the period in question bearing Elwood's name);","now ill be blunt i write the following to clear up some misconceptions about elwoods work that have been allowed to foster on the internet with several assertions having gone unchecked for the better part of a decade i did not know mr elwood nor any of his",49,"detractors","his","41C","of","52J","of","42F","his","32B",0.639999999999418,FALSE
"720","They say as soon as people get to know that their land is to be acquired for afforestation, they jack up prices. “They hike rates three to four times, which gets beyond our reach,” they say.","they say as soon as people get to know",10,"that","that","4","know","41C","that","31A","to","42F",0.629999999997381,TRUE
"721","Once the encaustic was done I used watercolor crayon to add the rest of the color. She was fun to do and now hangs over the wine rack in our kitchen.","once the encaustic was",5,"done","i","3","was","31B","done","21","here","32A",0.370000000002619,TRUE
"722","My own scarlet vesture beneath my breast.","my own scarlet vesture",5,"beneath","vesture","31B","my","2","beneath","2","vesture","21",0.279999999998836,TRUE
"723","Favorite Resident: ""well damn...I'll order one for first thing tomorrow then...yeah...you're right...if this is a result of his Other Medical Problems, this could be something where he's going to need help...""","favorite resident well",4,"damnill","a","21","well","21","small","21","roswell","21",0.160000000003492,FALSE
"724","Besides, she also claimed that a national campaign to survey and identify poverty-ravaged populations in the country was almost complete. That presupposes that the campaign had long started. According to her, the survey will inform and direct strategies for addressing poverty within each segment of Nigeria’s population, including the elderly, women, children and persons with disabilities. A UN news release also quoted Dr. Gbeneol to have said that the one year cash transfer policy for poor families in Nigeria is one of the success stories of President Jonathan’s administration, with 113 local governments in the country as beneficiaries.","besides she also claimed that a national campaign to survey and identify povertyravaged populations in",16,"the","the","3","the","21","is","21","country","21",0.359999999993306,TRUE
"725","Catalogue Listing","catalogue",2,"listing","didnt","2","listing","2",NA,NA,NA,NA,0.0500000000029104,TRUE
"726","It's 4:30 in the morning, and this is what happens. I mean, I had a moderately arid day... did some Christmas arcade and sat around, mostly. But I did administer to achieve something 9-year-old me is air-conditioned appreciative of, I'm sure.","its in the morning and this is what happens i mean i had a moderately arid day did some christmas arcade and sat around",25,"mostly","mostly","3","sat","32C","the","31B","down","31B",0.529999999998836,TRUE
"727","At night, we went to Paul’s cousin’s house where we spent the evening with his aunts, uncles and cousins.","at night we went to paul’s cousin’s house where we spent",12,"the","the","4","spent","41C","evening","3","the","31A",0.580000000001746,TRUE
"728","The small scapulars with which we are familiar as sacramentals owe their origin to a reduction of the large scapulars that formed part of the habit of Religious Orders and Congregations. This scapular was another of the scapulars approved during the reign of Pope Leo XIII without a confraternity. Although it was never the habit of any Order or Confraternity the Congregation of the Daughters of the Sacred Heart, founded at Antwerp in 1873 created this scapular in 1877 and were responsible for its promotion (Acta S. Sedis, XXXII, 633 sq.). It was approved at the request of the Archbishop of Marseilles, by the S. Congregation of Rites in 1900. Indulgences were granted to those who wear it habitually in 1901 and were enlarged in 1906.","the small scapulars with which we are familiar as sacramentals owe their origin to a reduction of the large scapulars that formed part of the habit of religious orders and congregations this scapular was another of the scapulars approved during the reign of pope leo xiii without a confraternity",50,"although","a","42F","a","32C","my","31B","going","31B",0.69999999999709,FALSE
"729","We seem of no use in the world;","we seem of no",5,"use","in","4","use","41A","use","41B","use","5",0.530000000006112,TRUE
"730","And the bill came up to something close to 2k. Umm...no, I want the $875 doors please. Apparently the door prices were mis-marked, but he did go through door company after door company, and threw in promo after promo to get us down to the $875 price. We had a 10% off coupon too, and he told us to go up to the service desk to pay for it, and we could use it there. Apparently they're not allowed to double dip, but if you go up to the service desk to pay, they don't know that there's been promotions applied already to the door, so you can generally get away with using another 10% off coupon.","and the bill came up to something close to k ummno i want the doors please apparently the door prices were mismarked but he did go through door company after door company and threw in promo after promo to get us down to the price we had a off coupon too and he told us to go up to the service desk to pay for it and we could use it there apparently theyre not allowed to double dip but if you go up to the service desk to pay they dont know that theres been",97,"promotions","major","31B","done","31A","after","31A","taking","31A",0.389999999999418,FALSE
"731","BRISTOL: Just don’t do it again.","bristol just",3,"don’t","just","21","one","2","another","2","say","2",0.0599999999976717,FALSE
"732","If you have questions about assignments or upcoming events. Please ask!","if",2,"you","ask","2","want","2","arent","2","the","2",0.0800000000017462,FALSE
"733","Emboldened by my success, I started eying the steep slope in our Batangas property. I shook my head, No it’s too crazy, that slope is too steep. But I couldn’t resist the challenge. I thought to myself, I can easily stop the bike once it reaches the garage. I’ll just put my foot down. I went up the slope and rode my bike. It was so fun until I needed to stop. I put my foot down, but the friction between my tsinelas and the ground destroyed my tsinelas. I used my other foot to stop the bike, but my other tsinelas was destroyed. I was barefoot. Without my tsinelas, I knew that if I put my foot down, the ground would cut through my skin. The bike was going faster and faster as I went down the slope. I was afraid that I would go straight to the talahib an area where snakes waited.","emboldened by my success i started eying the steep slope in our batangas property i shook my head no it’s too crazy that slope is too steep but i couldn’t resist the challenge i thought to myself i can easily stop the bike once it",46,"reaches","reaches","4","it","41C","reaches","31B","my","42F",0.629999999997381,TRUE
"734","Well, I know the digi is called Canary Love not Bluebird Love and I had the intention of coloring the bird yellow but somehow grabbed the wrong Copic and well, now I have a Bluebird. But at least he matches her eye color. I also added some glossy accents to the heart, rose, buttons and the red around her legs.","well i know the digi is called canary love not bluebird love and i had the intention of coloring the bird",22,"yellow","bird","41C","but","3","bird","31B","yellow","3",0.510000000002037,TRUE
"735","And there you will see your reflection.","and",2,"there","half","2","bit","2","think","2","suk","2",0.0800000000017462,FALSE
"736","of my knowledge and ability, I will support and defend the Constitution","of my knowledge",4,"and","and","4","and","3","and","31A","the","2",0.299999999995634,TRUE
"737","I hope you all have had a great weekend!","i hope you all have had",7,"a","a","5","great","4","a","41A","a","41B",0.840000000003783,TRUE
"738","Who woulda thunk it?","who woulda",3,"thunk","it","3","it","2","thunk","3","thunk","2",0.159999999996217,TRUE
"739","Tried to get up early Tuesday morning, managed to convince myself to sleep in a little, haha.","tried to get up early tuesday morning managed to convince myself to sleep in a",16,"little","little","5","little","4","a","51D","little","41B",0.889999999999418,TRUE
"740","Zechariah 14:3-4; “Then shall the LORD go forth, and fight against those nations, as when he fought in the day of battle. 4 ¶ And his feet shall stand in that day upon the mount of Olives, which is before Jerusalem on the east, and the mount of Olives shall cleave in the midst thereof toward the east and toward the west, and there shall be a very great valley; and half of the mountain shall remove toward the north, and half of it toward the south.”","zechariah “then shall the lord go forth and fight against those nations as when he fought in the day of battle � and his feet shall stand in that day upon the mount of olives which is before jerusalem on the east and the mount of olives shall cleave in",51,"the","the","4","midst","3","the","31B","cleave","32C",0.540000000000873,TRUE
"741","For those of you that don’t know….my bow maker is available for purchase on my right side bar.","for those of you that don’t know�my bow maker is available for purchase on my right",17,"side","bar","4","right","41C","my","42F","now","3",0.599999999998545,FALSE
"742","Work on the arch had started at Buckingham Palace in the mid 1820s and it was completed by 1833. It was originally moved to replace Cumberland Gate as the new entrance to Hyde Park and to complement Decimus Burton’s arch at Hyde Park Corner. Successive roadworks in the 20th century, however, left it in its current position.","work on the arch had started at buckingham palace in the mid",13,"s","s","5","and","4","s","41A","s","41B",0.700000000004366,TRUE
"743","Chit-chatting with her while she was picking up groceries picked me a bit as well.","chitchatting",2,"with","picking","2",NA,NA,NA,NA,NA,NA,0.0499999999956344,FALSE
"744","20 Over The Waves","over the",3,"waves","year","3","past","3","world","3","years","3",0.110000000000582,FALSE
"745","The USS booklet then goes on to continue to avoid mentioning CPI, and uses ‘official pensions’ as a euphemism, or synonym, for CPI. It sounds more unavoidable, more authoritative, perhaps. So, when the term ‘official pensions’ is used in that paragraph, reproduced here below, you can replace it with ‘CPI’:","the uss booklet then goes on to continue to avoid mentioning cpi and uses ‘official pensions’ as a euphemism or synonym for cpi it sounds more unavoidable more",29,"authoritative","relaxed","32A","relaxed","32C","of","31A","about","31A",0.419999999998254,FALSE
"746","With your fingers, peel and discard the loosened skin from the peppers, rinse under water.","with your fingers peel and discard the loosened",9,"skin","skin","3","loosened","31B","the","42F","from","2",0.5,TRUE
